{name:2ndLeft1            , testing: False, dynLoss: 1.9762, colRisk: 6.8371, smoothness: 4.9572, disVar: 0.0470}
{name:20240911-222121     , testing: False, dynLoss: 1.1954, colRisk: 8.6255, smoothness: 2.8378, disVar: 0.0022}
{name:20240911-222629     , testing: False, dynLoss: 1.0601, colRisk: 6.8792, smoothness: 9.2711, disVar: 0.0012}
{name:20240911-222405     , testing: False, dynLoss: 1.5126, colRisk: 11.174, smoothness: 2.0879, disVar: 0.0135}
{name:2ndLeft3            , testing: False, dynLoss: 0.9945, colRisk: 23.533, smoothness: 8.7736, disVar: 0.0086}
{name:2ndStair-uneven     , testing: True, dynLoss: 1.4122, colRisk: 11.592, smoothness: 0.0006, disVar: 0.0926}
{name:2                   , testing: True, dynLoss: 2.7114, colRisk: 24.940, smoothness: 8.6390, disVar: 0.0036}
{name:20240911-221513     , testing: False, dynLoss: 1.3160, colRisk: 11.421, smoothness: 2.7212, disVar: 0.0049}
{name:cafeCorner1         , testing: False, dynLoss: 1.1577, colRisk: 9.5420, smoothness: 9.4254, disVar: 0.0115}
{name:atrium2             , testing: False, dynLoss: 1.3286, colRisk: 12.296, smoothness: 4.2580, disVar: 0.0166}
{name:0                   , testing: False, dynLoss: 1.0653, colRisk: 34.897, smoothness: 0.0004, disVar: 0.0926}
{name:3                   , testing: False, dynLoss: nan, colRisk: nan, smoothness: 5.4016, disVar: 0.3748}
{name:atrium1             , testing: False, dynLoss: 1.4798, colRisk: 9.4246, smoothness: 1.1039, disVar: 0.0048}
{name:20240911-222200     , testing: False, dynLoss: 0.2638, colRisk: 5.5211, smoothness: 1.4460, disVar: 0.0003}
{name:1                   , testing: False, dynLoss: 2.4149, colRisk: 31.062, smoothness: 5.3852, disVar: 0.0268}
{name:20240911-222757     , testing: False, dynLoss: 0.3156, colRisk: 11.379, smoothness: 2.0578, disVar: 0.0004}
{name:car2                , testing: False, dynLoss: 1.0033, colRisk: 17.611, smoothness: 1.2980, disVar: 0.0025}
{name:20240911-221834     , testing: False, dynLoss: 1.3401, colRisk: 20.771, smoothness: 2.4004, disVar: 0.0016}
{name:20240911-223049     , testing: False, dynLoss: 1.2998, colRisk: 17.420, smoothness: 1.4539, disVar: 0.0069}
{name:3rdLeft-Col         , testing: False, dynLoss: 1.0812, colRisk: 24.860, smoothness: 2.3071, disVar: 0.0087}
{name:20240911-221929     , testing: False, dynLoss: 0.8375, colRisk: 3.9002, smoothness: 7.9054, disVar: 0.0006}
{name:cafeCorner2         , testing: False, dynLoss: 0.4007, colRisk: 13.261, smoothness: 2.5531, disVar: 0.0024}
{name:2ndRight            , testing: False, dynLoss: 1.1925, colRisk: 21.344, smoothness: 2.1535, disVar: 0.0041}
{name:4                   , testing: True, dynLoss: 1.9972, colRisk: 21.827, smoothness: 1.7519, disVar: 0.0684}
{name:car1                , testing: False, dynLoss: 0.6540, colRisk: 23.591, smoothness: 1.0460, disVar: 0.0096}
{name:car3                , testing: False, dynLoss: 1.1877, colRisk: 8.0682, smoothness: 7.1894, disVar: 0.0013}
